source	almaMmsId	hbzId	zdbId
mapping	99371473970706441	HT021439402	
mapping	990032178640206441	HT008166546	
mapping	990057639760206441	HT003784441	
mapping	990081178410206441	HT004522413	
mapping	990010080900206441	HT002770246	
mapping	990197852800206441	HT017724337	
mapping	990012986460206441	HT003458215	
mapping	990070787850206441	HT008602782	
mapping	990112762030206441	HT012948852	2001186-6
mapping	990010975320206441	HT002978945	
mapping	990098063540206441	HT005867001	
mapping	990115167760206441	HT013191040	
mapping	990194689330206441	HT017554002	
mapping	990003699840206441	HT000422163	
mapping	990154617480206441	HT014873354	
mapping	990059699880206441	HT001056224	
mapping	990077119400206441	HT001671906	
mapping	990187330190206441	HT016843260	
mapping	990077228930206441	HT001711565	
mapping	990055285680206441	HT006965114	570410-8
mapping	990079527170206441	HT003198979	
mapping	990005550430206441	HT000632567	
mapping	990110615790206441	BT000014210	
mapping	990193780440206441	HT017465398	
mapping	990059541720206441	HT001034658	
mapping	990121199390206441	HT013799463	
mapping	990054045070206441	HT001359767	208155-6
mapping	990079779540206441	HT003409797	
mapping	990101393410206441	HT011225386	
mapping	990205498160206441	HT018414419	
mapping	990191124730206441	HT017204561	
mapping	990143516330206441	HT014618751	
mapping	990132369350206441	HT014105423	
mapping	990080219640206441	HT003748341	
mapping	990218271540206441	HT019324454	
mapping	990059157840206441	HT000985381	
mapping	990077668540206441	HT001863692	
mapping	990111066490206441	BT000060077	
mapping	990110512160206441	BT000003628	
mapping	990170887080206441	HT015645673	
mapping	990000285360206441	HT000033019	
mapping	990077668480206441	HT001863686	
mapping	990091614560206441	HT002403640	
mapping	990005729830206441	HT000653186	
mapping	990062890070206441	HT003147247	
mapping	99370858704806441	HT020976564	
mapping	990063757590206441	HT003653407	
mapping	990110986600206441	BT000052084	
mapping	990078400520206441	HT002229723	
mapping	990132925480206441	HT014161754	
mapping	990078763450206441	HT002354200	
mapping	990155957240206441	HT015004276	
mapping	990171331080206441	HT015690013	
mapping	990112050230206441	BT000158967	
mapping	990142927290206441	HT014560836	
mapping	990060101880206441	HT001110200	
mapping	990143278230206441	HT014596280	
mapping	990076444180206441	HT001509023	
mapping	990118614510206441	HT013537847	
mapping	990205510550206441	HT018415585	
mapping	990078747170206441	HT002346580	
mapping	990000940710206441	HT000107446	
mapping	990138941060206441	HT014449713	
mapping	990077013570206441	HT001634864	
mapping	99372466937006441	HT030015622	
mapping	990075226850206441	HT011172610	
mapping	990061094840206441	HT001557902	
mapping	990063199330206441	HT003333218	
mapping	990067881130206441	HT006596351	
mapping	990048238280206441	HT001412275	
mapping	990084198020206441	HT007137233	
mapping	990084197990206441	HT007137224	
mapping	990178097320206441	HT016193976	
mapping	990078725210206441	HT002334401	
mapping	990110512350206441	BT000003651	
mapping	990211399960206441	HT018969085	
mapping	990059408260206441	HT001016824	
mapping	990049148110206441	HT004329812	
mapping	990042705840206441	HT010215067	
mapping	990077015960206441	HT001635438	
mapping	990080928670206441	HT004329852	
mapping	990115167590206441	HT013191023	
mapping	990061306700206441	HT002388862	
mapping	990014524810206441	HT003797375	
mapping	990002365460206441	HT000269761	
mapping	990076444250206441	HT001509030	
mapping	990061654310206441	HT002455940	
mapping	990056819870206441	HT001405527	
mapping	990091307140206441	HT002031457	
mapping	990066492860206441	HT005484012	
mapping	990076341870206441	HT001489784	
mapping	990066427330206441	HT005474559	
mapping	990078763490206441	HT002354204	
mapping	990151218140206441	HT014742620	
mapping	990004333260206441	HT000494395	
mapping	990143278330206441	HT014596290	
mapping	990078763440206441	HT002354199	
mapping	990054823650206441	HT006909885	209408-3
mapping	990011615850206441	HT003148108	
mapping	990058706950206441	HT000926050	
mapping	990054649740206441	HT006887118	2346-2
mapping	990077317110206441	HT001743871	
mapping	990077430460206441	HT001781070	
mapping	990059969610206441	HT001093561	
mapping	990078097730206441	HT002040130	
mapping	990078097690206441	HT002040126	
mapping	990059127290206441	HT000981695	
mapping	990061905880206441	HT002487764	
mapping	990058696170206441	HT000924858	
mapping	990058409120206441	HT000890262	
mapping	990003291540206441	HT000375042	
mapping	990001445430206441	HT000165365	
mapping	990040025670206441	HT009694343	
mapping	990066318060206441	HT005459787	
mapping	990167063570206441	HT015576911	
mapping	990047277980206441	HT011113430	
mapping	990059543940206441	HT001035019	
mapping	990019842180206441	HT004987287	
mapping	990012717650206441	HT003397865	
mapping	990060217690206441	HT001124900	
mapping	990068544960206441	HT007207116	
mapping	990113609390206441	HT013034053	2038730-1
mapping	990060535030206441	HT001164835	
mapping	990077388160206441	HT001767026	
mapping	990076969300206441	HT001611552	
mapping	990054356240206441	HT003605945	506435-1
mapping	990114632560206441	HT013137060	
mapping	990120282010206441	HT013706626	
mapping	990112186230206441	BT000172719	
mapping	990057403370206441	HT001055763	
mapping	990011800490206441	HT003194261	
mapping	990078431770206441	HT002237769	
mapping	990059549170206441	HT001035729	
mapping	990047967200206441	HT001355868	
mapping	990076969320206441	HT001611554	
mapping	990064715340206441	HT004234143	
mapping	990143278280206441	HT014596285	
mapping	990091707500206441	HT002938511	
mapping	990079220230206441	HT002985435	
mapping	990115167820206441	HT013191046	
mapping	99371058780306441	HT021146443	
mapping	990077036210206441	HT001643901	
mapping	990033557740206441	HT008442442	
mapping	990204128440206441	HT018284798	
mapping	990171189470206441	HT015676097	
mapping	990078282170206441	HT002107583	
mapping	990092493040206441	HT007413487	
mapping	990076444240206441	HT001509029	
mapping	990184450200206441	HT016739352	
mapping	990058801560206441	HT000936689	
mapping	990013508770206441	HT003580418	
mapping	990062073040206441	HT002509679	
mapping	990055237910206441	HT006959741	548779-1
mapping	990009554260206441	HT002702102	
mapping	990205791260206441	HT018442644	
mapping	990204956970206441	HT018363333	
mapping	990057433510206441	HT001484079	
mapping	990003043900206441	HT000346792	
mapping	990171199070206441	HT015677079	
mapping	990077268360206441	HT001723841	
mapping	990179380610206441	HT016302157	
mapping	990364703280206441	HT020277945	
mapping	990110560570206441	BT000008557	
mapping	990112110030206441	BT000165010	
mapping	990079901660206441	HT003508225	
mapping	990083981530206441	HT006766564	
mapping	990053194650206441	HT004164651	
mapping	990049672720206441	HT005415680	
mapping	990091236990206441	HT002013038	
mapping	990136410340206441	HT014425489	
mapping	990120361380206441	HT013714653	
mapping	990110532220206441	BT000005674	
mapping	990110532230206441	BT000005675	
mapping	990189038660206441	HT017003369	
mapping	990077446810206441	HT001787919	
mapping	990054073810206441	HT001378809	516714-0
mapping	990202730220206441	HT018154604	
mapping	990075873130206441	HT007529107	
mapping	990008121640206441	HT002285189	
mapping	990120283070206441	HT013706733	
mapping	990077668530206441	HT001863691	
mapping	990061985140206441	HT002497779	
mapping	990062420380206441	HT002880353	
mapping	990058884270206441	HT000948848	
mapping	990175825220206441	HT016003489	
mapping	990204136820206441	HT018285488	
mapping	990117082580206441	HT013384491	
mapping	990077228940206441	HT001711566	
mapping	990062502840206441	HT002927777	
mapping	990057450880206441	HT001787912	
mapping	990214399180206441	HT019177897	
mapping	990026823050206441	HT007087509	
mapping	990172107230206441	HT015768316	
mapping	990052700020206441	HT001247521	
mapping	990060066460206441	HT001105696	
mapping	990058355800206441	HT000736134	
mapping	990077255140206441	HT001720801	
mapping	990067325140206441	HT006282593	
mapping	990143189630206441	HT014587343	
mapping	990208183860206441	HT018659118	
mapping	990083360730206441	HT006236323	
mapping	990057479180206441	HT002352998	
mapping	990077668500206441	HT001863688	
mapping	990077668610206441	HT001863699	
mapping	990189510830206441	HT017049047	
mapping	990177295330206441	HT016123673	
mapping	990078426940206441	HT002236561	
mapping	990077031270206441	HT001642271	
mapping	990174703970206441	HT015940571	
mapping	990065765300206441	HT004825947	
mapping	990068485100206441	HT007168795	
mapping	990222859490206441	HT019565824	
mapping	990028427930206441	HT007420663	
mapping	990109211140206441	HT012769094	
mapping	990075301100206441	HT003260266	
mapping	990095835990206441	HT003675899	
mapping	990092277000206441	HT006054005	
mapping	99371726420606441	HT021567046	
mapping	990077377410206441	HT001763438	
mapping	990065883230206441	HT004956688	
mapping	990035264910206441	HT008771348	
mapping	990196802210206441	HT017643407	
mapping	990077377330206441	HT001763430	
mapping	99371210034106441	HT021265606	
mapping	990159767370206441	HT015269637	
mapping	990077377220206441	HT001763419	
mapping	990084636490206441	HT007534729	
mapping	990039474870206441	HT009586758	
mapping	990143568290206441	HT014623986	
mapping	990077668420206441	HT001863680	
mapping	990070502220206441	HT008428301	
mapping	990077377420206441	HT001763439	
mapping	990208427670206441	HT018683500	
mapping	990050930340206441	HT008771533	
mapping	990076205580206441	HT001462963	
mapping	990156107190206441	HT015019430	
