zdbId	source
1000211-X	ALEPH
1004015-8	ALEPH
1004016-X	ALEPH
1004747-5	ALEPH
1007899-X	ALEPH
1010533-5	ALEPH
1013863-8	ALEPH
1014348-8	ALEPH
1017152-6	ALEPH
1017156-3	ALEPH
1017159-9	ALEPH
1018017-5	ALEPH
1018926-9	ALEPH
1019066-1	ALEPH
1020277-8	ALEPH
1021574-8	ALEPH
1021908-0	ALEPH
1022056-2	ALEPH
1023135-3	ALEPH
1024996-5	ALEPH
1025211-3	ALEPH
1025706-8	ALEPH
1030699-7	ALEPH
1033524-9	ALEPH
1040545-8	ALEPH
1040548-3	ALEPH
1041735-7	ALEPH
1042386-2	ALEPH
1043293-0	ALEPH
1044034-3	ALEPH
1044424-5	ALEPH
1045385-4	ALEPH
1046945-X	ALEPH
1047190-X	ALEPH
1048025-0	ALEPH
1048300-7	ALEPH
1050032-7	ALEPH
1050101-0	ALEPH
1050170-8	ALEPH
1050367-5	ALEPH
1050377-8	ALEPH
1051858-7	ALEPH
1052056-9	ALEPH
1053633-4	ALEPH
1053976-1	ALEPH
1056269-2	ALEPH
1056846-3	ALEPH
1058471-7	ALEPH
1058949-1	ALEPH
1059622-7	ALEPH
1060098-X	ALEPH
1061097-2	ALEPH
1063805-2	ALEPH
1065385-5	ALEPH
1065552-9	ALEPH
1066256-X	ALEPH
1067207-2	ALEPH
1067299-0	ALEPH
1069635-0	ALEPH
1073600-1	ALEPH
1073787-X	ALEPH
1074162-8	ALEPH
1074246-3	ALEPH
1074496-4	ALEPH
1074596-8	ALEPH
1074816-7	ALEPH
1074826-X	ALEPH
1075100-2	ALEPH
1075636-X	ALEPH
1077067-7	ALEPH
1079904-7	ALEPH
1082955-6	ALEPH
1084250-0	ALEPH
1084253-6	ALEPH
1084257-3	ALEPH
1085571-3	ALEPH
1085597-X	ALEPH
1085773-4	ALEPH
1088717-9	ALEPH
1089504-8	ALEPH
1091689-1	ALEPH
1092769-4	ALEPH
1093240-9	ALEPH
1093283-5	ALEPH
1093287-2	ALEPH
1093702-X	ALEPH
1094435-7	ALEPH
1097775-2	ALEPH
1099324-1	ALEPH
1099664-3	ALEPH
1101418-0	ALEPH
1104425-1	ALEPH
1105329-X	ALEPH
1105454-2	ALEPH
1105860-2	ALEPH
1106854-1	ALEPH
1107980-0	ALEPH
1109801-6	ALEPH
1113566-9	ALEPH
1113945-6	ALEPH
1116439-6	ALEPH
1117459-6	ALEPH
